07-04-2026 18:31:17 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:17 | GET | cafeteria-api/pedido_itens
07-04-2026 18:31:17 | GET | cafeteria-api/produtos
07-04-2026 18:31:17 | GET | cafeteria-api/pedido_itens
07-04-2026 18:39:11 | GET | cafeteria-api/categorias
07-04-2026 18:39:11 | GET | cafeteria-api/produtos
07-04-2026 18:39:12 | GET | cafeteria-api/pedidos
07-04-2026 18:39:14 | GET | cafeteria-api/produtos
07-04-2026 18:39:14 | GET | cafeteria-api/pedido_itens
07-04-2026 18:40:06 | GET | cafeteria-api/produtos
07-04-2026 18:40:06 | GET | cafeteria-api/pedido_itens
07-04-2026 18:40:06 | GET | cafeteria-api/produtos
07-04-2026 18:40:12 | GET | cafeteria-api/categorias
07-04-2026 18:40:12 | GET | cafeteria-api/produtos
07-04-2026 18:40:18 | GET | cafeteria-api/pedidos
07-04-2026 18:40:20 | GET | cafeteria-api/produtos
ens
07-04-2026 18:40:20 | GET | cafeteria-api/produtos
07-04-2026 18:40:27 | GET | cafeteria-api/pedidos
07-04-2026 18:40:29 | GET | cafeteria-api/produtos
ens
07-04-2026 18:40:29 | GET | cafeteria-api/produtos
07-04-2026 18:42:56 | GET | cafeteria-api/produtos
07-04-2026 18:42:56 | GET | cafeteria-api/pedido_itens
07-04-2026 18:42:56 | GET | cafeteria-api/produtos
07-04-2026 18:50:46 | GET | cafeteria-api/produtos
ens
07-04-2026 18:50:46 | GET | cafeteria-api/produtos
07-04-2026 18:51:09 | GET | cafeteria-api/produtos
07-04-2026 18:51:09 | GET | cafeteria-api/pedido_itens
07-04-2026 18:51:09 | GET | cafeteria-api/produtos
07-04-2026 18:53:16 | GET | cafeteria-api/categorias
07-04-2026 18:53:16 | GET | cafeteria-api/produtos
07-04-2026 18:53:19 | GET | cafeteria-api/pedidos
07-04-2026 18:53:21 | GET | cafeteria-api/produtos
07-04-2026 18:53:21 | GET | cafeteria-api/pedido_itens
07-04-2026 18:53:21 | GET | cafeteria-api/produtos
07-04-2026 18:55:28 | GET | cafeteria-api/pedidos
07-04-2026 18:57:00 | GET | cafeteria-api/produtos
07-04-2026 18:57:00 | GET | cafeteria-api/pedido_itens
07-04-2026 18:57:00 | GET | cafeteria-api/produtos
07-04-2026 18:57:57 | GET | cafeteria-api/produtos
07-04-2026 18:57:57 | GET | cafeteria-api/pedido_itens
07-04-2026 18:57:57 | GET | cafeteria-api/produtos
07-04-2026 18:58:16 | GET | cafeteria-api/categorias
07-04-2026 18:58:16 | GET | cafeteria-api/produtos
07-04-2026 18:58:19 | GET | cafeteria-api/pedidos
07-04-2026 18:58:21 | GET | cafeteria-api/produtos
07-04-2026 18:58:21 | GET | cafeteria-api/pedido_itens
07-04-2026 18:58:21 | GET | cafeteria-api/produtos
07-04-2026 19:00:55 | GET | cafeteria-api/produtos
07-04-2026 19:00:55 | GET | cafeteria-api/pedido_itens
07-04-2026 19:00:55 | GET | cafeteria-api/produtos
